iterations,time,pi
100000,0.0,0.31415826535897934884626433520272e1
500000,4.0,0.31415906535897932404626433832468e1
1000000,8.0,0.31415916535897932387126433832549e1
5000000,41.8,0.31415924535897932384646433832671e1
10000000,83.2,0.31415925535897932384628933832865e1
50000000,418.8,0.31415926335897932384626453833051e1
100000000,836.6,0.31415926435897932384626436332506e1
250000000,2092.8,0.31415926495897932384626433989816e1
400000000,3352.2,0.31415926510897932384626433865197e1
500000000,4188.6,0.31415926515897932384626433844031e1
