iterations,time,pi,accurency
10000000,75.4,0.31415926535897932384623933833549e1,21
50000000,322.4,0.31415926535897932384626413832806e1,23
100000000,608.2,0.31415926535897932384626431332812e1,24
500000000,3013.2,0.31415926535897932384626433812825e1,26
750000000,4458.4,0.31415926535897932384626433826897e1,26
1000000000,6334.2,0.31415926535897932384626433830318e1,27
2500000000,14968.6,0.31415926535897932384626433832615e1,28
5000000000,29824.4,0.3141592653589793238462643383276e1,29
7500000000,44834.6,0.31415926535897932384626433832768e1,29
10000000000,59812.0,0.31415926535897932384626433832775e1,29
