iterations,time,pi
10000000,85.4,0.31415926535897932384623933833559e1
50000000,428.2,0.31415926535897932384626413832813e1
100000000,858.4,0.31415926535897932384626431332809e1
500000000,4303.4,0.31415926535897932384626433812818e1
750000000,6414.2,0.31415926535897932384626433826854e1
1000000000,8552.4,0.31415926535897932384626433830259e1
2500000000,21394.2,0.3141592653589793238462643383262e1
5000000000,42765.4,0.31415926535897932384626433832758e1
7500000000,64126.2,0.31415926535897932384626433832771e1
10000000000,85504.2,0.31415926535897932384626433832774e1
