iterations,time,pi,accurency
10000000,18.6,0.31415926536094707227529168862338e1,9
50000000,73.4,0.31415926535899507672237424834568e1,12
100000000,134.0,0.314159265358979323846264313328e1,24
500000000,671.4,0.31415926535897932384626433812793e1,26
750000000,1006.4,0.31415926535897932851453634382784e1,16
1000000000,1341.4,0.31415926535897932384626433830296e1,27
2500000000,3378.4,0.31415926535897932384626433832652e1,28
5000000000,6801.4,0.31415926535897932384626433832738e1,29
7500000000,10226.0,0.31415926535897932384626433832756e1,29
10000000000,13628.2,0.3141592653589793238462643383277e1,29
