iterations,time,pi
100000,111.0,0.31415926535897929884701432645313e1
500000,558.0,0.31415926535897932364626553832381e1
1000000,1116.0,0.3141592653589793238212644133278e1
5000000,5580.4,0.3141592653589793238460643384495e1
10000000,11161.0,0.31415926535897932384623933833408e1
50000000,55807.8,0.31415926535897932384626413832963e1
100000000,111616.2,0.31415926535897932384626431333472e1
250000000,279036.8,0.3141592653589793238462643367274e1
400000000,446463.0,0.31415926535897932384626433793768e1
500000000,558076.4,0.31415926535897932384626433812878e1
